"TYPE","TIME","LAT","LON","ALT","BEARING","ACCURACY","SPEED","NAME","DESCRIPTION","SEGMENT"
"TRACK",,,,,,,,"Track 4","",
"P","2010-08-09T02:32:33Z","25.027681","121.517624","180.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:34Z","25.027622","121.517672","174.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:35Z","25.02752","121.517742","167.0","0.0","96.0","0.0",,,"0"
"P","2010-08-09T02:32:37Z","25.027794","121.517415","188.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:38Z","25.027617","121.517549","193.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:39Z","25.02766","121.517511","187.0","0.0","96.0","0.0",,,"0"
"P","2010-08-09T02:32:42Z","25.027617","121.517559","175.0","0.0","96.0","0.0",,,"0"
"P","2010-08-09T02:32:43Z","25.027579","121.517592","173.0","0.0","96.0","0.0",,,"0"
"P","2010-08-09T02:32:45Z","25.027858","121.517575","176.0","0.0","192.0","0.0",,,"0"
"P","2010-08-09T02:32:47Z","25.027622","121.51742","183.0","0.0","192.0","0.0",,,"0"
"P","2010-08-09T02:32:48Z","25.027477","121.517538","186.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:49Z","25.027413","121.517554","187.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:49Z","25.027413","121.517554","187.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:49Z","25.027413","121.517554","187.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:52Z","25.027236","121.517602","191.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:54Z","25.027424","121.517463","175.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:32:58Z","25.027467","121.517549","186.0","0.0","192.0","0.0",,,"0"
"P","2010-08-09T02:33:00Z","25.0273","121.517398","182.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:03Z","25.02722","121.51742","183.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:05Z","25.027161","121.517549","163.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:06Z","25.027193","121.517511","151.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:08Z","25.027252","121.517372","177.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:10Z","25.027767","121.517243","172.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:15Z","25.027724","121.517286","173.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:16Z","25.027601","121.517302","172.0","0.0","96.0","0.0",,,"0"
"P","2010-08-09T02:33:18Z","25.027617","121.517152","170.0","243.984375","192.0","0.75",,,"0"
"P","2010-08-09T02:33:19Z","25.027563","121.517259","170.0","271.40625","128.0","0.75",,,"0"
"P","2010-08-09T02:33:21Z","25.027434","121.517259","169.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:22Z","25.027536","121.517211","159.0","0.0","128.0","0.0",,,"0"
"P","2010-08-09T02:33:25Z","25.027644","121.517259","158.0","0.0","96.0","0.0",,,"0"
"P","2010-08-09T02:33:29Z","25.027295","121.517227","168.0","204.9609375","128.0","1.0",,,"0"
"P","2010-08-09T02:33:31Z","25.027778","121.517109","150.0","270.0","128.0","1.25",,,"0"
"P","2010-08-09T02:33:33Z","25.027585","121.517023","159.0","280.1953125","96.0","0.75",,,"0"
"P","2010-08-09T02:33:34Z","25.027086","121.517908","48.0","280.1953125","48.0","0.5",,,"0"
"P","2010-08-09T02:33:35Z","25.027043","121.517924","38.0","280.1953125","32.0","0.5",,,"0"
"P","2010-08-09T02:33:36Z","25.026834","121.517978","-10.0","241.875","48.0","1.25",,,"0"
"P","2010-08-09T02:33:38Z","25.02693","121.517962","-4.0","0.0","48.0","0.0",,,"0"
"P","2010-08-09T02:33:40Z","25.026715","121.517978","-28.0","266.484375","48.0","1.0",,,"0"
"P","2010-08-09T02:33:42Z","25.026775","121.518005","-34.0","0.0","32.0","0.0",,,"0"
"P","2010-08-09T02:33:44Z","25.02678","121.517876","-34.0","0.0","96.0","0.0",,,"0"
"P","2010-08-09T02:33:44Z","25.02678","121.517876","-34.0","0.0","96.0","0.0",,,"0"
"P","2010-08-09T02:33:46Z","25.026785","121.517897","-34.0","0.0","64.0","0.0",,,"0"
"P","2010-08-09T02:33:47Z","25.026876","121.517924","-36.0","0.0","64.0","0.0",,,"0"
"P","2010-08-09T02:33:50Z","25.026866","121.517935","-36.0","0.0","48.0","0.0",,,"0"
"P","2010-08-09T02:33:53Z","25.026876","121.517913","-34.0","0.0","24.0","0.0",,,"0"
"P","2010-08-09T02:33:56Z","25.026866","121.517715","-34.0","0.0","64.0","0.0",,,"0"
"P","2010-08-09T02:33:59Z","25.026769","121.517736","-33.0","306.9140625","48.0","0.75",,,"0"
"P","2010-08-09T02:34:01Z","25.026721","121.517726","-32.0","262.96875","32.0","0.25",,,"0"
"P","2010-08-09T02:34:05Z","25.026737","121.517651","-31.0","0.0","48.0","0.0",,,"0"
"P","2010-08-09T02:34:06Z","25.026694","121.517613","-31.0","290.7421875","48.0","1.0",,,"0"
"P","2010-08-09T02:34:07Z","25.026608","121.517645","-30.0","280.8984375","32.0","1.0",,,"0"
"P","2010-08-09T02:34:08Z","25.026549","121.517651","-30.0","276.328125","32.0","1.0",,,"0"
"P","2010-08-09T02:34:12Z","25.026501","121.517613","-30.0","277.03125","32.0","1.0",,,"0"
"P","2010-08-09T02:34:13Z","25.026571","121.517618","-30.0","280.8984375","24.0","1.0",,,"0"
"P","2010-08-09T02:34:14Z","25.026614","121.517602","-30.0","288.28125","24.0","1.0",,,"0"
"P","2010-08-09T02:34:17Z","25.026614","121.51757","-27.0","275.625","16.0","0.0",,,"0"
"P","2010-08-09T02:34:34Z","25.026581","121.51757","-26.0","336.796875","24.0","0.5",,,"0"
"P","2010-08-09T02:34:36Z","25.026555","121.517586","-27.0","336.796875","24.0","0.25",,,"0"
"P","2010-08-09T02:34:39Z","25.026506","121.517586","-27.0","336.796875","24.0","0.5",,,"0"
"P","2010-08-09T02:34:40Z","25.026458","121.517479","-29.0","239.0625","24.0","0.75",,,"0"
"P","2010-08-09T02:34:43Z","25.026469","121.517538","-29.0","239.0625","16.0","0.5",,,"0"
"P","2010-08-09T02:34:44Z","25.026501","121.517575","-29.0","239.0625","16.0","0.5",,,"0"
"P","2010-08-09T02:34:46Z","25.026501","121.517651","-28.0","239.0625","24.0","0.25",,,"0"
"P","2010-08-09T02:34:50Z","25.026506","121.51771","-29.0","239.0625","24.0","0.25",,,"0"
"P","2010-08-09T02:34:55Z","25.026485","121.517769","-30.0","239.0625","32.0","0.0",,,"0"
"P","2010-08-09T02:35:01Z","25.026533","121.517785","-31.0","239.0625","32.0","0.75",,,"0"
"P","2010-08-09T02:35:06Z","25.02671","121.517731","-32.0","0.0","64.0","0.0",,,"0"
"P","2010-08-09T02:35:08Z","25.026732","121.517661","-33.0","0.0","64.0","0.0",,,"0"
"P","2010-08-09T02:35:09Z","25.026748","121.517613","-33.0","0.0","64.0","0.0",,,"0"
